id,nom,groupe,muscles_primaires,muscles_secondaires,pattern,met,unilateral,image_url
dips,Dips,Pectoraux,pec|triceps,front-delt|abs,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/dips-pectoraux.webp
dips-paralleles,Dips Triceps (Buste Droit),Triceps,triceps,front-delt|pec|abs,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/dips-triceps-paralleles.webp
dips-machine-assistee,Dips Machine Assistée,Pectoraux,pec|triceps,front-delt,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/dips-assiste-machine.webp
dips-assis-machine-seated-dip,Dips Assis Machine (Seated Dip),Pectoraux,pec|triceps,front-delt,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/dips-assis-machine-avec-poids.webp
pompes-lestees,Pompes Lestées,Pectoraux,pec|triceps,front-delt|abs,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/pompes-lestees.webp
pompes-deficit-deficit-push-up,Pompes Déficit (Deficit Push-up),Pectoraux,pec|triceps,front-delt|abs,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/pompes-deficit.webp
pompes-diamant,Pompes Diamant,Pectoraux,triceps|pec,front-delt|abs,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/pompes-diamant.webp
pompes-push-up,Pompes (Push-up),Pectoraux,pec|triceps,front-delt|abs,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/pompe-musculation.webp
developpe-couche-avec-chaines,Développé Couché avec Chaînes,Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-couche-avec-chaines.webp
developpe-couche-larsen-larsen-press,Développé Couché Larsen (Larsen Press),Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-couche-larsen.webp
developpe-couche-unilateral-kettlebell,Développé Couché Unilatéral Kettlebell,Pectoraux,pec,front-delt|triceps|obliques|abs,poussee-horizontale,5.5,true,https://michdu75-commits.github.io/forcetracker/exercises/developpe-couche-unilateral-kettlebell.webp
developpe-incline-poulie,Développé Incliné Poulie,Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-incline-poulie.webp
developpe-couche-au-sol-floor-press,Développé Couché au Sol (Floor Press),Pectoraux,pec|triceps,front-delt,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-couche-au-sol-floor-press.webp
developpe-couche-elastique,Développé Couché Élastique,Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-couche-elastique.webp
developpe-decline-elastique,Développé Décliné Élastique,Pectoraux,pec,triceps|front-delt,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-decline-elastique.webp
ecarte-poulie-haute-a-genoux,Écarté Poulie Haute à Genoux,Pectoraux,pec,front-delt,poussee-horizontale,4,false,https://michdu75-commits.github.io/forcetracker/exercises/ecarte-poulie-haute-a-genoux.webp
ecarte-elastique,Écarté Élastique,Pectoraux,pec,front-delt,poussee-horizontale,4,false,https://michdu75-commits.github.io/forcetracker/exercises/ecarte-elastique.webp
ecarte-trx-sangles,Écarté TRX (Sangles),Pectoraux,pec,front-delt|abs,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/ecarte-trx-sangles.webp
chest-press-trx-sangles,Chest Press TRX (Sangles),Pectoraux,pec,front-delt|triceps|abs,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/chest-press-trx-sangles.webp
pompes-inclinees-trx-sangles,Pompes Inclinées TRX (Sangles),Pectoraux,pec|triceps,front-delt|abs,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/pompes-inclinees-trx-sangles.webp
developpe-epaules-elastique,Développé Épaules Élastique,Épaules,front-delt,side-delt|triceps|traps,poussee-verticale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-epaules-elastique.webp
developpe-epaules-assis-elastique,Développé Épaules Assis Élastique,Épaules,front-delt,side-delt|triceps|traps,poussee-verticale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-epaules-assis-elastique.webp
developpe-epaules-unilateral-elastique,Développé Épaules Unilatéral Élastique,Épaules,front-delt,side-delt|triceps|traps|obliques|abs,poussee-verticale,5.5,true,https://michdu75-commits.github.io/forcetracker/exercises/developpe-epaules-unilateral-elastique.webp
elevations-laterales-unilaterale-poulie,Élévations Latérales Unilatérale Poulie,Épaules,side-delt,traps,elevation-epaules,4,true,https://michdu75-commits.github.io/forcetracker/exercises/elevations-laterales-unilaterale-poulie.webp
oiseau-elastique,Oiseau Élastique,Épaules,rear-delt,side-delt|traps,elevation-epaules,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/oiseau-elastique.webp
oiseau-inverse-trx-sangles,Oiseau Inversé TRX (Sangles),Épaules,rear-delt,side-delt|traps|abs,elevation-epaules,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/oiseau-inverse-trx-sangles.webp
rotation-externe-epaule-poulie,Rotation Externe Épaule Poulie,Épaules,rear-delt,traps,elevation-epaules,4,true,https://michdu75-commits.github.io/forcetracker/exercises/rotation-externe-epaule-poulie.webp
handstand-push-up-suspendu-sangles,Handstand Push-up Suspendu (Sangles),Épaules,front-delt,side-delt|triceps|traps|abs,poussee-verticale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/handstand-push-up-suspendu.webp
ecarte-incline-halteres,Écarté Incliné Haltères,Pectoraux,pec,front-delt,poussee-horizontale,4,false,https://michdu75-commits.github.io/forcetracker/exercises/ecartes-incline-avec-halteres.webp
ecarte-decline-halteres,Écarté Décliné Haltères,Pectoraux,pec,front-delt,poussee-horizontale,4,false,https://michdu75-commits.github.io/forcetracker/exercises/ecartes-decline-avec-halteres.webp
ecarte-hyght-hyght-fly,Écarté Hyght (Hyght Fly),Pectoraux,pec,front-delt,poussee-horizontale,4,false,https://michdu75-commits.github.io/forcetracker/exercises/hyght-dumbell-fly.webp
hex-press-smith-machine,Hex Press Smith Machine,Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/hex-press-a-la-smith-machine.webp
chest-press-poulie-assis,Chest Press Poulie Assis,Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/chest-press-poulie-assis.webp
svend-press-serrage-de-plaque,Svend Press (Serrage de Plaque),Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/svend-press.webp
smith-machine-developpe-couche,Smith Machine Développé Couché,Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-couche-smith-machine.webp
smith-machine-developpe-incline,Smith Machine Développé Incliné,Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/smith-machine-developpe-incline.webp
souleve-de-terre,Soulevé de Terre,Dos,glutes|hamstrings|lower-back,quads|traps|forearms|lats,hip-hinge,6.5,false,https://michdu75-commits.github.io/forcetracker/exercises/souleve-de-terre.webp
souleve-de-terre-sumo,Soulevé de Terre Sumo,Dos,glutes|quads|lower-back,hamstrings|traps|forearms|lats,hip-hinge,6.5,false,https://michdu75-commits.github.io/forcetracker/exercises/souleve-de-terre-sumo.webp
tirage-en-rack-rack-pull,Tirage en Rack (Rack Pull),Dos,lower-back|glutes|traps,hamstrings|lats|forearms,hip-hinge,6.5,false,https://michdu75-commits.github.io/forcetracker/exercises/rack-pull.webp
inclinaison-lombaire-good-morning,Inclinaison Lombaire (Good Morning),Fessiers,hamstrings|glutes|lower-back,abs,hip-hinge,6.5,false,https://michdu75-commits.github.io/forcetracker/exercises/good-morning-exercice.webp
rowing-barre-tirage-horizontal,Rowing Barre (Tirage Horizontal),Dos,lats|traps,rear-delt|biceps|forearms|lower-back,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/rowing-barre.webp
rowing-haltere-tirage-horizontal,Rowing Haltère (Tirage Horizontal),Dos,lats|traps,rear-delt|biceps|forearms|lower-back,tirage-horizontal,5.5,true,https://michdu75-commits.github.io/forcetracker/exercises/rowing-haltere-un-bras.webp
rowing-cable-tirage-horizontal,Rowing Câble (Tirage Horizontal),Dos,lats|traps,rear-delt|biceps|forearms|lower-back,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/tirage-horizontal-poulie.webp
rowing-yates-supination,Rowing Yates (Supination),Dos,lats|traps,rear-delt|biceps|forearms|lower-back,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/rowing-yates-barre.webp
rowing-poitrine-appuyee-chest-supported,Rowing Poitrine Appuyée (Chest Supported),Dos,lats|traps,rear-delt|biceps|forearms,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/rowing-halteres-banc-incline-prise-neutre.webp
rowing-machine-tirage-horizontal,Rowing Machine (Tirage Horizontal),Dos,lats|traps,rear-delt|biceps|forearms,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/rowing-assis-machine-prise-pronation.webp
rowing-hammer-strength,Rowing Hammer Strength,Dos,lats|traps,rear-delt|biceps|forearms,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/rowing-assis-machine-hammer-strenght.webp
tirage-poulie-haute-lat-pulldown,Tirage Poulie Haute (Lat Pulldown),Dos,lats,biceps|traps|rear-delt|forearms,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/tirage-vertical-poitrine.webp
tirage-poulie-haute-prise-serree,Tirage Poulie Haute Prise Serrée,Dos,lats,biceps|traps|rear-delt|forearms,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/tirage-vertical-prise-serree.webp
tirage-nuque,Tirage Nuque,Dos,lats,biceps|traps|rear-delt|forearms,tirage-vertical,5.5,false,
tirage-poulie-basse-prise-large,Tirage Poulie Basse Prise Large,Dos,lats|traps,rear-delt|biceps|forearms|lower-back,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/tirage-horizontal-prise-large.webp
tirage-poulie-basse-prise-serree,Tirage Poulie Basse Prise Serrée,Dos,lats|traps,rear-delt|biceps|forearms|lower-back,tirage-horizontal,5.5,false,
traction-lestee,Traction Lestée,Dos,lats,biceps|traps|rear-delt|forearms,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/traction-lestee-vraie.webp
traction-assistee,Traction Assistée,Dos,lats,biceps|traps|rear-delt|forearms,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/traction-assistee-machine.webp
traction-prise-neutre,Traction Prise Neutre,Dos,lats,biceps|traps|rear-delt|forearms,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/traction-prise-neutre.webp
pull-over,Pull-over,Dos,lats,pec|triceps,tirage-horizontal,5.5,false,
pull-over-haltere,Pull-over Haltère,Dos,lats,pec|triceps,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/pullover-haltere.webp
pullover-machine,Pullover Machine,Dos,lats,pec|triceps,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/musculation-pull-over-assis-machine.webp
pull-over-barre,Pull-over Barre,Dos,lats,pec|triceps,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/pull-over-barre.webp
pull-over-poulie,Pull-over Poulie,Dos,lats,pec|triceps,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/pull-over-poulie.webp
rowing-smith-machine,Rowing Smith Machine,Dos,lats|traps,rear-delt|biceps|forearms|lower-back,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/rowing-smith-machine.webp
rowing-t-bar-machine,Rowing T-Bar Machine,Dos,lats|traps,rear-delt|biceps|forearms,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/rowing-t-bar-machine.webp
rowing-landmine-t-bar,Rowing Landmine (T-Bar),Dos,lats|traps,rear-delt|biceps|forearms|lower-back,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/rowing-barre-t-landmine.webp
rowing-halteres-buste-penche,Rowing Haltères Buste Penché,Dos,lats|traps,rear-delt|biceps|forearms|lower-back,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/bent-over-row-avec-halteres.webp
meadows-row,Meadows Row,Dos,lats|traps,rear-delt|biceps|forearms|lower-back,tirage-horizontal,5.5,true,https://michdu75-commits.github.io/forcetracker/exercises/rowing-unilateral-landmine-meadows-row.webp
seal-row,Seal Row,Dos,lats|traps,rear-delt|biceps|forearms,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/seal-row-halteres.webp
renegade-row,Renegade Row,Dos,lats|traps,rear-delt|biceps|forearms|abs|obliques,tirage-horizontal,5.5,true,https://michdu75-commits.github.io/forcetracker/exercises/renegade-row.webp
tirage-iso-lateral-hammer-strength,Tirage Iso-Latéral Hammer Strength,Dos,lats|traps,rear-delt|biceps|forearms,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/tirage-avant-iso-laterale-hammer-strength.webp
tirage-incline-poulie-haute,Tirage Incliné Poulie Haute,Dos,lats,biceps|traps|rear-delt|forearms,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/tirage-incline-poulie-haute.webp
tirage-poulie-haute-prise-inversee,Tirage Poulie Haute Prise Inversée,Dos,lats|biceps,traps|rear-delt|forearms,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/tirage-vertical-prise-inversee.webp
traction-derriere-la-nuque,Traction Derrière la Nuque,Dos,lats,biceps|traps|rear-delt|forearms,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/traction-barre-derriere-rear-oull-up.webp
rocky-pull-up,Rocky Pull-up,Dos,lats,biceps|traps|rear-delt|forearms,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/rocky-pull-up.webp
sled-pull,Sled Pull,Dos,lats|traps,rear-delt|biceps|forearms,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/sled-pull.webp
tractions-pull-up,Tractions (Pull-up),Dos,lats,biceps|traps|rear-delt|forearms,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/traction-musculation-dos.webp
traction-supination-chin-up,Traction Supination (Chin-up),Dos,lats|biceps,traps|rear-delt|forearms,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/traction-supination-chin-up.webp
muscle-up,Muscle-up,Dos,lats|biceps,front-delt|pec|triceps|abs,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/muscle-up.webp
tractions-aux-anneaux,Tractions aux Anneaux,Dos,lats,biceps|traps|rear-delt|forearms,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/tractions-aux-anneaux.webp
traction-australienne-poids-du-corps,Traction Australienne (Poids du Corps),Dos,lats|traps,rear-delt|biceps|forearms|abs,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/traction-australienne.webp
traction-assistee-avec-banc,Traction Assistée avec Banc,Dos,lats,biceps|traps|rear-delt|forearms,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/traction-assistee-avec-banc.webp
suspension-passive-dead-hang,Suspension Passive (Dead Hang),Dos,forearms,lats|traps,tirage-vertical,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/suspension-passive-dead-hang.webp
rowing-inverse-sous-une-table,Rowing Inversé sous une Table,Dos,lats|traps,rear-delt|biceps|forearms|abs,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/rowing-inverse-sous-table.webp
rowing-buste-penche-elastique,Rowing Buste Penché Élastique,Dos,lats|traps,rear-delt|biceps|forearms|lower-back,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/rowing-buste-penche-elastique.webp
rowing-horizontal-elastique,Rowing Horizontal Élastique,Dos,lats|traps,rear-delt|biceps|forearms|lower-back,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/rowing-horizontal-elastique.webp
rowing-unilateral-elastique,Rowing Unilatéral Élastique,Dos,lats|traps,rear-delt|biceps|forearms|lower-back,tirage-horizontal,5.5,true,https://michdu75-commits.github.io/forcetracker/exercises/rowing-unilateral-elastique.webp
tirage-vertical-alterne-elastique,Tirage Vertical Alterné Élastique,Dos,lats,biceps|traps|rear-delt|forearms,tirage-vertical,5.5,true,https://michdu75-commits.github.io/forcetracker/exercises/tirage-vertical-alterne-elastique.webp
rowing-trx-sangles,Rowing TRX (Sangles),Dos,lats|traps,rear-delt|biceps|forearms|abs,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/rowing-trx-sangles.webp
traction-australienne-trx-sangles,Traction Australienne TRX (Sangles),Dos,lats|traps,rear-delt|biceps|forearms|abs,tirage-horizontal,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/traction-australienne-trx-sangles.webp
haussements-d-epaules-barre,Haussements d'Épaules Barre,Trapèzes,traps,forearms,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/shrug-barre.webp
haussements-d-epaules-halteres,Haussements d'Épaules Haltères,Trapèzes,traps,forearms,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/shrugs-avec-halteres.webp
haussements-d-epaules-cable,Haussements d'Épaules Câble,Trapèzes,traps,forearms,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/shrug-poulie-haussement-epaules.webp
tirage-menton,Tirage Menton,Trapèzes,side-delt|traps,biceps|front-delt,elevation-epaules,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/tirage-menton-machine-guidee.webp
farmer-s-walk,Farmer's Walk,Avant-bras,forearms|traps,abs|glutes|quads,porte,6.5,false,https://michdu75-commits.github.io/forcetracker/exercises/marche-du-fermier-avec-kettlebells.webp
haussements-d-epaules-overhead,Haussements d'Épaules Overhead,Trapèzes,traps,forearms,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/overhead-shrug.webp
developpe-militaire,Développé Militaire,Épaules,front-delt,side-delt|triceps|traps,poussee-verticale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-militaire-exercice-musculation.webp
developpe-militaire-halteres,Développé Militaire Haltères,Épaules,front-delt,side-delt|triceps|traps,poussee-verticale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-epaule-halteres.webp
developpe-halteres-assis,Développé Haltères Assis,Épaules,front-delt,side-delt|triceps|traps,poussee-verticale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-halteres-assis.webp
developpe-arnold-arnold-press,Développé Arnold (Arnold Press),Épaules,front-delt,side-delt|triceps|traps,poussee-verticale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-arnold-exercice-musculation.webp
developpe-epaules-machine,Développé Épaules Machine,Épaules,front-delt,side-delt|triceps|traps,poussee-verticale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/presse-epaule-exercice-musculation.webp
smith-machine-developpe-militaire,Smith Machine Développé Militaire,Épaules,front-delt,side-delt|triceps|traps,poussee-verticale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-epaules-smith-machine.webp
elevations-laterales-lateral-raise,Élévations Latérales (Lateral Raise),Épaules,side-delt,traps,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/elevations-laterales-exercice-musculation.webp
elevations-laterales-cable,Élévations Latérales Câble,Épaules,side-delt,traps,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/elevations-laterales-poulie.webp
elevations-laterales-machine,Élévations Latérales Machine,Épaules,side-delt,traps,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/elevation-laterale-machine.webp
elevations-frontales,Élévations Frontales,Épaules,front-delt,side-delt,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/elevations-frontales-exercice-musculation.webp
elevations-frontales-cable,Élévations Frontales Câble,Épaules,front-delt,side-delt,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/elevation-frontale-poulie-basse.webp
elevations-frontales-machine,Élévations Frontales Machine,Épaules,front-delt,side-delt,elevation-epaules,4,false,
oiseau,Oiseau,Épaules,rear-delt,side-delt|traps,elevation-epaules,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/oiseau-assis-sur-banc.webp
machine-oiseau,Machine Oiseau,Épaules,rear-delt,side-delt|traps,elevation-epaules,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/pec-deck-inverse.webp
tirage-visage-face-pull,Tirage Visage (Face Pull),Épaules,rear-delt,side-delt|traps|biceps,elevation-epaules,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/face-pull.webp
tirage-menton-kettlebell,Tirage Menton Kettlebell,Épaules,side-delt|traps,biceps|front-delt,elevation-epaules,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/tirage-menton-avec-kettlebell.webp
y-raise-w-raise,Y Raise / W Raise,Épaules,traps|rear-delt,,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/elevation-en-y-a-la-poulie.webp
developpe-nuque,Développé Nuque,Épaules,front-delt|side-delt,triceps|traps,poussee-verticale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-nuque-barre-guidee.webp
developpe-epaules-kettlebell,Développé Épaules Kettlebell,Épaules,front-delt,side-delt|triceps|traps,poussee-verticale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-epaule-avec-kettlebell.webp
developpe-landmine-epaules,Développé Landmine (Épaules),Épaules,front-delt,pec|triceps|traps|abs,poussee-verticale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-landmine.webp
ecarte-arriere-elastique,Écarté Arrière Élastique,Épaules,rear-delt,side-delt|traps,elevation-epaules,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/ecarte-arriere-elastique.webp
elevation-frontale-allongee-barre,Élévation Frontale Allongée Barre,Épaules,front-delt,side-delt,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/elevation-frontale-allongee-a-la-barre.webp
elevation-laterale-poulie-inclinee,Élévation Latérale Poulie Inclinée,Épaules,side-delt,traps,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/elevation-laterale-a-la-poulie-en-inclinaison.webp
elevation-laterale-landmine,Élévation Latérale Landmine,Épaules,side-delt,traps,elevation-epaules,4,true,https://michdu75-commits.github.io/forcetracker/exercises/elevation-laterale-landmine-exercice-musculation.webp
elevations-laterales-kettlebell,Élévations Latérales Kettlebell,Épaules,side-delt,traps,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/elevation-laterales-avec-kettlebell.webp
rotation-interne-epaule-elastique,Rotation Interne Épaule Élastique,Épaules,front-delt,pec,elevation-epaules,4,true,https://michdu75-commits.github.io/forcetracker/exercises/exercice-rotation-interne-epaule-elastique-renforcement-coiffe-rotateurs-prevention-blessures-musculation.webp
face-pull-couche-poulie,Face Pull Couché Poulie,Épaules,rear-delt,side-delt|traps|biceps,elevation-epaules,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/face-pull-couche-a-la-poulie.webp
oiseau-poulie-45,Oiseau Poulie 45°,Épaules,rear-delt,side-delt|traps,elevation-epaules,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/oiseau-a-la-poulie-a-45.webp
passage-d-epaule-elastique,Passage d'Épaule Élastique,Épaules,rear-delt,traps,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/passage-depaule-avec-elastique.webp
rotation-externe-epaule-abduction,Rotation Externe Épaule Abduction,Épaules,rear-delt,traps,elevation-epaules,4,true,https://michdu75-commits.github.io/forcetracker/exercises/rotation-externe-de-epaule-en-abduction.webp
rotation-externe-epaule-elastique,Rotation Externe Épaule Élastique,Épaules,rear-delt,traps,elevation-epaules,4,true,https://michdu75-commits.github.io/forcetracker/exercises/rotation-externe-epaule-exercice-renforcement-elastique.webp
rotation-interne-90-poulie,Rotation Interne 90° Poulie,Épaules,front-delt,pec,elevation-epaules,4,true,https://michdu75-commits.github.io/forcetracker/exercises/rotation-interne-a-90-a-la-poulie.webp
elevation-frontale-banc-incline,Élévation Frontale Banc Incliné,Épaules,front-delt,side-delt,elevation-epaules,4,false,https://michdu75-commits.github.io/forcetracker/exercises/elevation-frontale-banc-incline.webp
elevation-laterale-inclinee-haltere,Élévation Latérale Inclinée Haltère,Épaules,side-delt,traps,elevation-epaules,4,true,https://michdu75-commits.github.io/forcetracker/exercises/elevation-laterale-incline-haltere.webp
