fichier;ligne;fonction;lignes_de_code;role;champs_touches;appelle_qtyRescale;ecrit_dans_foodLog;fabrique_un_per100
app.js;1631;_afLuFormulaire;4;Lit les 4 macros telles qu'elles sont dans le formulaire À CET INSTANT (pour détecter, à l'enregistrement, si la personne les a retouchées après un remplissage automatique).;kcal · prot · carbs · fat;;;
app.js;1658;_qtyRescale;20;═══════════ UN SEUL PROPRIÉTAIRE DE « COMBIEN J'EN AI PRIS ?;kcal · prot · carbs · fat · saisie;oui;;
app.js;1678;_bcApplyGrams;7;UN POUR-100 G EST UNE RÉFÉRENCE DE 100 même moteur que toutes les autres routes.;kcal · prot · carbs · fat · _bcNutr;oui;;
app.js;1721;_bcQsrc;21;D'OÙ VIENT LE NOMBRE PRÉ-REMPLI DANS « Quantité » (ft-v1105) Michel, étiquette du pot à l'appui : « c'est cette prot là, toujours le même souci ».;;;;
app.js;1742;_bcProposerDerniere;12;q<=0 ON CACHE SEULEMENT, on ne touche PAS au champ.;q;;;
app.js;1759;_bcProposerPaquet;8;ft-v1174 — LA PASTILLE DU PAQUET.;q · _bcPaquetG;;;
app.js;1767;_bcReprendrePaquet;7;;q · saisie;;;
app.js;1774;_bcReprendreDerniere;7;;q · saisie;;;
app.js;1781;_bcMontrerTotal;8;;kcal · prot · carbs · fat;;;
app.js;1803;_repasHabituels;60;"═══ « TES REPAS HABITUELS » — UN APPUI, ZÉRO FORMULAIRE (18/08/2026) ═════════════════════ Michel, en décrivant sa vraie journée : *« le matin je prends mon shaker de prot, je prends une banane ; le midi deux steaks hachés 5 %, 300 g de viande rouge, 200 g de riz et de la ratatouille ; le soir à peu près la même chose »*.";prot · S.foodLog;;;
app.js;1916;_foodTotals;5;;kcal · prot · carbs · fat · S.foodLog;;;
app.js;2133;_portionRaisonnable;22;ESPACE INSÉCABLE entre le nombre et son unité (ft-v1031) : vu à la capture, « + 250 / g de Steak haché » le 250 finissait une ligne et le « g » commençait la suivante.;per100;;;
app.js;2166;_portionLbl;1;;;;;
app.js;2253;openAddFood;54;REMISE À ZÉRO DE LA PROVENANCE À CHAQUE OUVERTURE sans ça, un scan d'Open Food Facts laisserait sa provenance sur la saisie MANUELLE suivante, et le journal affirmerait une source qui n'a rien à voir.;kcal · prot · carbs · fat · saisie · _bcNutr · _bcPaquetG;;;
app.js;2384;quickFillFood;46;LA QUANTITÉ SUR UN ALIMENT REPRIS DE « MES ALIMENTS » (ft-v1042) — Michel, 2 captures : « il faut absolument que je puisse mettre le poids sur les aliments réutilisés, qu'ils soient rentrés avec le code-barre, ou à la main ou encore avec l'IA ».;per100 · q · u · kcal · prot · carbs · fat · etat · origine · saisie · sourceId · _bcNutr;;;
app.js;2430;quickAddFood;16;AJOUT DEPUIS LA LISTE (favori / récent) : la ligne est REPRISE d'une entrée précédente.;kcal · prot · carbs · fat · origine · saisie · S.foodLog;;oui;
app.js;2492;_afToastAjout;6;🍽 LA CONFIRMATION DIT DANS QUEL REPAS L'ALIMENT EST TOMBÉ (03/09/2026) — c'est la seconde moitié de la phrase de Michel : « pareil quand on rentre un aliment, quel est le jour de la journée choisi ».;;;;
app.js;2909;_afSqueeze;1;ET CES MOTS-LÀ NE S'ÉCRIVENT PAS (22/08/2026) — Michel, juste après : *« oui j'ai mis ça, après je voulais mettre coquilette »*.;;;;
app.js;2913;_afMotDansNom;14;Un mot tapé peut atteindre un nom par 3 chemins, du plus sûr au moins sûr.;;;;
app.js;2931;_afRang;10;R2 — UN SEUL PROPRIÉTAIRE DE « CE QUE VEUT DIRE CHERCHER ».;;;;
app.js;3002;_foodSynonymes;13;Rend la LISTE de requêtes à jouer pour ce que la personne a tapé.;q;;;
app.js;3093;_afSuggPrendreMarque;24;UN PRODUIT DE MARQUE REMPLIT LE FORMULAIRE PAR LE MÊME CHEMIN QUE TOUT LE RESTE (R2).;per100 · kcal · prot · carbs · fat · etat · origine · saisie · sourceId · _bcNutr;;;oui
app.js;3117;_afSuggPrendreCiqual;19;LE PLUS COÛTEUX DES SIX : data/ciqual.json porte les décimales (3 298 aliments sur 3 484), et on les jetait ici même, à la lecture.;per100 · kcal · prot · carbs · fat · etat · origine · saisie · sourceId · _bcNutr;;;oui
app.js;3198;_afNorm;7;LA PONCTUATION DEVIENT UN ESPACE (ft-v1119) — mesuré en auditant la base pour GPT : `Boulgour, cuit` ne rendait **RIEN**, parce que le mot cherché devenait `boulgour,` **avec sa virgule collée**, et qu'aucun nom ne contient ça.;;;;
app.js;3227;_afMots;5;;q;;;
app.js;3234;_afSuggLocales;16;① CE QU'IL A DÉJÀ NOTÉ.;q · S.foodLog;;;
app.js;3253;_offRechercher;14;② LA RECHERCHE OPEN FOOD FACTS.;q;;;
app.js;3267;_afSuggNom;4;;;;;
app.js;3271;_afSuggKcal100;4;;;;;
app.js;3275;_afSuggRendu;65;ft-v1168 LE POINT UNIQUE OÙ LA RECHERCHE D'ALIMENTS REND ZÉRO : les QUATRE sources sont vides (son journal CIQUAL les marques Open Food Facts).;kcal · prot · carbs · fat;;;
app.js;3340;_afSuggVider;1;;;;;
app.js;3343;_afSuggInput;44;Déclenché à la frappe.;q;;;
app.js;3392;_afSuggPrendreLocale;97;① On reprend une entrée passée TELLE QUELLE : mêmes macros, même nom, même quantité.;per100 · q · u · kcal · prot · carbs · fat · etat · origine · saisie · sourceId · _bcNutr;;;
app.js;3491;_afSuggPrendreOff;11;② Un résultat de recherche est un produit Open Food Facts comme un autre : il passe par le MÊME chemin que le code-barres (grammes, provenance, avertissement cru/cuit, score santé).;_bcNutr;;;
app.js;3502;addFoodEntry;20;;kcal · prot · carbs · fat · S.foodLog;;oui;
app.js;3530;confirmRemoveFood;7;Demande confirmation avant de retirer un aliment du journal;S.foodLog;;;
app.js;3553;_journalJourActif;1;;;;;
app.js;3579;openEditFood;60;MODIFIER LE POIDS D'UNE ENTRÉE (22/08/2026) — Michel, sur un « Oeuf cru » : « on ne peut pas modifier le poids ».;per100 · q · kcal · prot · carbs · fat · saisie · S.foodLog · _efRef · _efPoidsPose;;;
app.js;3663;_efSetUnite;11;On ne rescale RIEN en changeant d'unité : ça ne change pas ce qu'on a mangé, ça change la façon de le compter.;u · _efPoidsPose;;;
app.js;3674;_efDeclarePoids;20;ft-v1159 CETTE FONCTION NE REDESSINE PLUS RIEN, et c'est TOUT le correctif.;_efPoidsPose;;;
app.js;3700;_aidePoidsPose;1;ft-v1159 — UNE SEULE PHRASE DE CONFIRMATION pour les deux écrans (R2).;;;;
app.js;3703;_efPropSetBase;4;ft-v1172 — la jumelle de `_afPropSetBase` : les 4 valeurs telles qu'elles sont À L'ÉCRAN.;kcal · prot · carbs · fat;;;
app.js;3707;_efQtyRender;81;base NE VIENT PAS DE L'ÉCRAN PAR DÉFAUT c'est la leçon de ft-v1061 : relire des champs déjà rescalés ferait de la référence une valeur dérivée d'elle-même, et l'erreur se figerait.;per100 · q · u · kcal · prot · carbs · fat · S.foodLog · _efRef;;;
app.js;3788;_efProp;7;;kcal · prot · carbs · fat · _efRef;;;
app.js;3795;_efApplyProp;7;"AVANT ft-v1067 : if(!(v>0)) return; le champ vidé laissait des valeurs ORPHELINES à l'écran, exactement le défaut corrigé sur l'écran d'ajout en ft-v1061. La jumelle vivait ici depuis ce matin.";q · _efRef;oui;;
app.js;3802;_efApplyPortion;1;;;;;
app.js;3858;_qtyGrammesEcran;23;LES MACROS NE PEUVENT PAS PESER PLUS QUE LA PORTION (ft-v1103) Michel, capture à l'appui, sur une ligne « Iso zero protein (ASL) » : *« encore le souci avec la prot »*.;q · u · _afRef · _efRef;;;
app.js;3884;_masseImpossible;5;R2 — UNE SEULE DÉFINITION DE « CES MACROS NE TIENNENT PAS DANS CETTE PORTION », lue par l'estimation IA, le formulaire d'ajout et la modale de modification.;q · prot · carbs · fat;;;
app.js;3894;_masseImpossibleVals;6;LA RÈGLE PHYSIQUE, SUR DES VALEURS ET NON SUR DES CHAMPS (ft-v1110, R2).;q · prot · carbs · fat;;;
app.js;3943;_kcalImpossibleVals;13;La masse ne tient déjà pas dans la portion : _masseImpossible a la parole, pas nous.;q · kcal · prot · carbs · fat;;;
app.js;3958;_kcalImpossible;5;R2 — UNE SEULE DÉFINITION, deux lectures : celle-ci lit l'écran (les deux formulaires), `_kcalImpossibleVals` travaille sur des nombres pour le calibrage à la main.;q · kcal · prot · carbs · fat;;;
app.js;4012;_efCoherence;1;;;;;
app.js;4013;_efCorrigerKcal;5;;kcal · _efRef;;;
app.js;4021;_afCoherence;1;ET EN DIRECT À LA SAISIE (ft-v972) — Michel : *« et en direct, pas au moment de l'enregistrer »*.;;;;
app.js;4044;_afPropSetBase;4;;kcal · prot · carbs · fat;;;
app.js;4050;_afProp;7;On repart TOUJOURS de `base`, jamais des champs affichés — sinon deux réglages successifs s'empileraient, et l'erreur grandirait à chaque frappe (même piège qu'en ft-v972).;kcal · prot · carbs · fat · _afRef;;;
app.js;4057;_afApplyProp;4;;q · _afRef;oui;;
app.js;4062;_afApplyPortion;1;;;;;
app.js;4097;_afResetUnite;1;;_afPoidsPose;;;
app.js;4098;_afSetUnite;27;ON NE RESCALE RIEN EN CHANGEANT D'UNITÉ.;u · kcal · _afRef · _afPoidsPose;;;
app.js;4125;_afDeclarePoids;11;ft-v1159 NE REDESSINE PLUS RIEN (jumelle de _efDeclarePoids ).;_afPoidsPose;;;
app.js;4136;_afPropCacher;10;L'UNITÉ SE REMET À ZÉRO AVEC LE BLOC (ft-v1051), sinon l'aliment SUIVANT hérite du choix du précédent et pire, de son poids déclaré.;_afRef;;;
app.js;4153;_afMajAncre;110;ON NE RELIT L'ÉCRAN QUE SI LA SOURCE A CHANGÉ (ft-v1061) c'est LE correctif.;q · u · kcal · prot · carbs · fat · _afRef · _bcNutr;;;
app.js;4264;_afCorrigerKcal;5;;kcal · _afRef;;;
app.js;4270;_efApplyGrams;4;Même calcul que `_bcApplyGrams()` (R2) : pour-100g × grammes/100, appliqué aux 4 champs macro.;per100 · S.foodLog;oui;;
app.js;4274;saveEditFood;25;La quantité ne se met à jour QUE si le champ était affiché (per100 connu) sinon q / u;per100 · q · u · kcal · prot · carbs · fat · origine · S.foodLog;;;
screens.js;2455;_kcalPreview;7;;kcal · prot · fat;;;
screens.js;2497;_nutriJoursNotes;11;`sansAujourdhui` : la journée EN COURS n'entre pas dans la moyenne (19/08/2026).;S.foodLog;;;
screens.js;3031;renderNutrition;286;Phase buttons;kcal · prot · carbs · fat;;;
state.js;782;numFR;5;🔢 LE LECTEUR DE NOMBRE TAPÉ PAR UN HUMAIN — UN SEUL PROPRIÉTAIRE (ft-v1057, R2) D'OÙ ÇA VIENT : **Eline**, la fille de Michel, dans la boîte à idées des testeurs — *« impossible de mettre la virgule pour les poids »*.;;;;
state.js;1122;calcTDEE;1;;;;;
state.js;1781;calcMacros;10;Réglage manuel (comme MyFitnessPal) : si l'utilisateur a fixé ses calories à la main,;;;;
state.js;2008;_portionner;65;Rend la description AVEC les portions.;kcal · etat · origine;;;
