nom;identifiant;groupe;musclesPrincipauxFr;musclesSecondairesFr;schemaLibelle;materielLibelle;met;role;termeAnglais;animation;musclesEcrits;classementCertain
Chariot de Puissance — Tirage Épaules;chariot-de-puissance-tirage-epaules;Épaules;Deltoïde antérieur;Abdominaux + Deltoïde moyen + Trapèzes;Élévation / rotation épaule;Cardio / conditionnement;5.5;accessoire;power sled shoulder raise;exercises/chariot-tirage-epaules.webp;true;true
Chariot de Puissance — Tirage Inversé Jambes;chariot-de-puissance-tirage-inverse-jambes;Jambes;Quadriceps;Mollets + Fessiers;Squat (flexion hanche+genou);Cardio / conditionnement;6.5;ancre;power sled reverse drag;exercises/chariot-tirage-inverse-jambes.webp;true;true
Chest Press Machine Déclinée;chest-press-machine-declinee;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);"Guidé (machine, poulie)";5.5;ancre;decline chest press machine;exercises/chest-press-machine-declinee.webp;true;true
Chest Press Machine Horizontale;chest-press-machine-horizontale;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);"Guidé (machine, poulie)";5.5;ancre;chest press machine;exercises/developpe-machine-assis-pectoraux.webp;true;true
Chest Press Machine Inclinée;chest-press-machine-inclinee;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);"Guidé (machine, poulie)";5.5;ancre;incline chest press machine;exercises/developpe-incline-machine-convergente-exercice-musculation.webp;true;true
Chest Press Poulie Assis;chest-press-poulie-assis;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);"Guidé (machine, poulie)";5.5;ancre;seated cable chest press;exercises/chest-press-poulie-assis.webp;true;true
Chest Press TRX (Sangles);chest-press-trx-sangles;Pectoraux;Pectoraux;Abdominaux + Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);Sangles / TRX;5.5;ancre;trx chest press;exercises/chest-press-trx-sangles.webp;true;true
Clean & Jerk;clean-jerk;Full Body;Fessiers + Quadriceps + Trapèzes;Abdominaux + Avant-bras + Deltoïde antérieur + Ischio-jambiers + Triceps;Haltérophilie (explosif);Polyvalent / non déterminé;8;ancre;clean and jerk;exercises/epaule-jete-halterophilie.webp;true;true
Cossack Squat;cossack-squat;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;Poids du corps;6.5;accessoire;;exercises/cossack-squat.webp;true;true
Croisé Poulie (Cable Crossover);croise-poulie-cable-crossover;Pectoraux;Pectoraux;Deltoïde antérieur;Poussée horizontale (pectoraux);"Guidé (machine, poulie)";4;accessoire;cable crossover;exercises/ecartes-poulie-vis-a-vis.webp;true;true
Croix de Fer Haltères;croix-de-fer-halteres;Épaules;Deltoïde moyen;Trapèzes;Élévation / rotation épaule;"Poids libre (haltères, kettlebell)";4;accessoire;;exercises/croix-de-fer-halteres.webp;true;true
Crunch;crunch;Abdominaux;Abdominaux;Obliques;Gainage / abdominaux;Poids du corps;4;accessoire;crunch abdominal;;true;true
Crunch Machine;crunch-machine;Abdominaux;Abdominaux;Obliques;Gainage / abdominaux;"Guidé (machine, poulie)";4;accessoire;crunch machine;;true;true
Crunch Oblique;crunch-oblique;Abdominaux;Abdominaux + Obliques;;Gainage / abdominaux;Poids du corps;4;accessoire;oblique crunch;;true;true
Crunch Poulie;crunch-poulie;Abdominaux;Abdominaux;Obliques;Gainage / abdominaux;"Guidé (machine, poulie)";4;accessoire;cable crunch;;true;true
Curl Araignée (Spider Curl);curl-araignee-spider-curl;Biceps;Biceps;Avant-bras;Flexion du coude (biceps);Barre;4;accessoire;spider curl;exercises/curl-araignee-spider.webp;true;true
Curl Barre;curl-barre;Biceps;Biceps;Avant-bras;Flexion du coude (biceps);Barre;4;accessoire;barbell bicep curl;;true;true
Curl Barre EZ Prise Large;curl-barre-ez-prise-large;Biceps;Biceps;Avant-bras;Flexion du coude (biceps);Barre;4;accessoire;ez bar curl wide grip;;true;true
Curl Câble en Croix (Bayesian Curl);curl-cable-en-croix-bayesian-curl;Biceps;Biceps;Avant-bras;Flexion du coude (biceps);"Guidé (machine, poulie)";4;accessoire;bayesian curl cable;;true;true
Curl Concentré;curl-concentre;Biceps;Biceps;Avant-bras;Flexion du coude (biceps);Barre;4;accessoire;concentration curl;exercises/curl-concentre.webp;true;true
Curl EZ;curl-ez;Biceps;Biceps;Avant-bras;Flexion du coude (biceps);Barre;4;accessoire;ez bar curl;;true;true
Curl Haltères;curl-halteres;Biceps;Biceps;Avant-bras;Flexion du coude (biceps);"Poids libre (haltères, kettlebell)";4;accessoire;dumbbell bicep curl;exercises/curl-halteres-alterne.webp;true;true
Curl Incliné;curl-incline;Biceps;Biceps;Avant-bras;Flexion du coude (biceps);Barre;4;accessoire;incline dumbbell curl;exercises/curl-haltere-incline.webp;true;true
Curl Machine;curl-machine;Biceps;Biceps;Avant-bras;Flexion du coude (biceps);"Guidé (machine, poulie)";4;accessoire;bicep curl machine;;true;true
Curl Poignet Barre;curl-poignet-barre;Avant-bras;Avant-bras;;Flexion / rotation du poignet;Barre;4;accessoire;wrist curl barbell;;true;true
Curl Poulie;curl-poulie;Biceps;Biceps;Avant-bras;Flexion du coude (biceps);"Guidé (machine, poulie)";4;accessoire;cable bicep curl;;true;true
Curl Pupitre Barre EZ (Larry Scott);curl-pupitre-barre-ez-larry-scott;Biceps;Biceps;Avant-bras;Flexion du coude (biceps);Barre;4;accessoire;ez bar preacher curl;exercises/curl-pupitre-barre-ez-larry-scott.webp;true;true
Curl Pupitre Machine;curl-pupitre-machine;Biceps;Biceps;Avant-bras;Flexion du coude (biceps);"Guidé (machine, poulie)";4;accessoire;preacher curl machine;exercises/curl-pupitre-machine.webp;true;true
Curl Zottman;curl-zottman;Biceps;Biceps + Avant-bras;;Flexion du coude (biceps);Barre;4;accessoire;zottman curl;;true;true
Développé Arnold (Arnold Press);developpe-arnold-arnold-press;Épaules;Deltoïde antérieur;Deltoïde moyen + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);"Poids libre (haltères, kettlebell)";5.5;ancre;arnold press;exercises/developpe-arnold-exercice-musculation.webp;true;true
Développé Couché;developpe-couche;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);Barre;5.5;ancre;bench press barbell;exercises/developpe-couche.webp;true;true
Développé Couché au Sol (Floor Press);developpe-couche-au-sol-floor-press;Pectoraux;Pectoraux + Triceps;Deltoïde antérieur;Poussée horizontale (pectoraux);Barre;5.5;ancre;floor press barbell;exercises/developpe-couche-au-sol-floor-press.webp;true;true
Développé Couché avec Chaînes;developpe-couche-avec-chaines;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);Barre;5.5;ancre;bench press with chains;exercises/developpe-couche-avec-chaines.webp;true;true
Développé Couché Élastique;developpe-couche-elastique;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);Élastique;5.5;ancre;bench press resistance band;exercises/developpe-couche-elastique.webp;true;true
Développé Couché Haltères;developpe-couche-halteres;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);"Poids libre (haltères, kettlebell)";5.5;ancre;bench press dumbbell;exercises/developpe-couche-halteres-exercice-musculation.webp;true;true
Développé Couché Larsen (Larsen Press);developpe-couche-larsen-larsen-press;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);Barre;5.5;ancre;larsen press;exercises/developpe-couche-larsen.webp;true;true
Développé Couché Unilatéral Kettlebell;developpe-couche-unilateral-kettlebell;Pectoraux;Pectoraux;Abdominaux + Deltoïde antérieur + Obliques + Triceps;Poussée horizontale (pectoraux);"Poids libre (haltères, kettlebell)";5.5;ancre;single arm kettlebell bench press;exercises/developpe-couche-unilateral-kettlebell.webp;true;true
Développé Décliné;developpe-decline;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);Barre;5.5;ancre;decline bench press;exercises/developpe-decline-barre.webp;true;true
Développé Décliné Élastique;developpe-decline-elastique;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);Élastique;5.5;ancre;decline press resistance band;exercises/developpe-decline-elastique.webp;true;true
Développé Décliné Haltères;developpe-decline-halteres;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);"Poids libre (haltères, kettlebell)";5.5;ancre;decline bench press dumbbell;exercises/developpe-decline-halteres.webp;true;true
Développé Épaules Assis Élastique;developpe-epaules-assis-elastique;Épaules;Deltoïde antérieur;Deltoïde moyen + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);Élastique;5.5;ancre;seated shoulder press resistance band;exercises/developpe-epaules-assis-elastique.webp;true;true
Développé Épaules Assis Machine (Shoulder Press);developpe-epaules-assis-machine-shoulder-pre;Épaules;Deltoïde antérieur;Deltoïde moyen + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);"Guidé (machine, poulie)";5.5;ancre;seated machine shoulder press;exercises/shoulder-press-machine.webp;true;true
Développé Épaules Élastique;developpe-epaules-elastique;Épaules;Deltoïde antérieur;Deltoïde moyen + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);Élastique;5.5;ancre;shoulder press resistance band;exercises/developpe-epaules-elastique.webp;true;true
Développé Épaules Kettlebell;developpe-epaules-kettlebell;Épaules;Deltoïde antérieur;Deltoïde moyen + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);"Poids libre (haltères, kettlebell)";5.5;ancre;;exercises/developpe-epaule-avec-kettlebell.webp;true;true
Développé Épaules Machine;developpe-epaules-machine;Épaules;Deltoïde antérieur;Deltoïde moyen + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);"Guidé (machine, poulie)";5.5;ancre;shoulder press machine;exercises/presse-epaule-exercice-musculation.webp;true;true
Développé Épaules Unilatéral Élastique;developpe-epaules-unilateral-elastique;Épaules;Deltoïde antérieur;Abdominaux + Obliques + Deltoïde moyen + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);Élastique;5.5;ancre;single arm shoulder press resistance band;exercises/developpe-epaules-unilateral-elastique.webp;true;true
Développé Haltères Assis;developpe-halteres-assis;Épaules;Deltoïde antérieur;Deltoïde moyen + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);"Poids libre (haltères, kettlebell)";5.5;ancre;seated dumbbell press;;true;true
Développé Incliné;developpe-incline;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);Barre;5.5;ancre;incline bench press;exercises/developpe-incline-barre.webp;true;true
Développé Incliné Haltères;developpe-incline-halteres;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);"Poids libre (haltères, kettlebell)";5.5;ancre;incline bench press dumbbell;exercises/developpe-incline-halteres-exercice-musculation.webp;true;true
Développé Incliné Poulie;developpe-incline-poulie;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);"Guidé (machine, poulie)";5.5;ancre;incline cable press;exercises/developpe-incline-poulie.webp;true;true
Développé Landmine (Épaules);developpe-landmine-epaules;Épaules;Deltoïde antérieur;Abdominaux + Pectoraux + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);"Poids libre (haltères, kettlebell)";5.5;ancre;;exercises/developpe-landmine.webp;true;true
Développé Militaire;developpe-militaire;Épaules;Deltoïde antérieur;Deltoïde moyen + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);Barre;5.5;ancre;overhead press barbell;exercises/developpe-militaire-exercice-musculation.webp;true;true
Développé Militaire Haltères;developpe-militaire-halteres;Épaules;Deltoïde antérieur;Deltoïde moyen + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);"Poids libre (haltères, kettlebell)";5.5;ancre;overhead press dumbbell;exercises/developpe-epaule-halteres.webp;true;true
Développé Nuque;developpe-nuque;Épaules;Deltoïde antérieur + Deltoïde moyen;Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);Barre;5.5;ancre;;exercises/developpe-nuque-barre-guidee.webp;true;true
Dips;dips;Pectoraux;Pectoraux + Triceps;Deltoïde antérieur;Poussée horizontale (pectoraux);Poids du corps;5.5;ancre;chest dips;exercises/dips-pectoraux.webp;true;true
Dips Assis Machine (Seated Dip);dips-assis-machine-seated-dip;Pectoraux;Pectoraux + Triceps;Deltoïde antérieur;Poussée horizontale (pectoraux);"Guidé (machine, poulie)";5.5;ancre;seated dip machine;exercises/dips-assis-machine-avec-poids.webp;true;true
Dips aux Anneaux;dips-aux-anneaux;Triceps;Pectoraux + Triceps;Abdominaux + Deltoïde antérieur;Poussée horizontale (pectoraux);Poids du corps;5.5;ancre;ring dips;exercises/dips-aux-anneaux.webp;true;true
Dips entre Deux Bancs;dips-entre-deux-bancs;Triceps;Triceps;Deltoïde antérieur + Pectoraux;Poussée horizontale (pectoraux);Poids du corps;5.5;ancre;bench dips between two benches;exercises/dips-entre-deux-bancs.webp;true;true
Dips Lestés;dips-lestes;Triceps;Pectoraux + Triceps;Deltoïde antérieur;Poussée horizontale (pectoraux);Poids du corps;5.5;ancre;dips weighted;;true;true
Dips Machine Assistée;dips-machine-assistee;Pectoraux;Pectoraux + Triceps;Deltoïde antérieur;Poussée horizontale (pectoraux);"Guidé (machine, poulie)";5.5;ancre;assisted dip machine;exercises/dips-assiste-machine.webp;true;true
Dips Parallèles;dips-paralleles;Pectoraux;Pectoraux + Triceps;Deltoïde antérieur;Poussée horizontale (pectoraux);Poids du corps;5.5;ancre;parallel bar dip;exercises/dips-triceps-paralleles.webp;true;true
Drapeau (Dragon Flag);drapeau-dragon-flag;Abdominaux;Abdominaux;Deltoïde antérieur + Fléchisseurs de hanche + Grand dorsal + Obliques;Gainage / abdominaux;Polyvalent / non déterminé;5.5;accessoire;dragon flag;;true;true
Écarté Arrière Élastique;ecarte-arriere-elastique;Épaules;Deltoïde postérieur;Deltoïde moyen + Trapèzes;Élévation / rotation épaule;Élastique;5.5;accessoire;;exercises/ecarte-arriere-elastique.webp;true;true
Écarté Décliné Haltères;ecarte-decline-halteres;Pectoraux;Pectoraux;Deltoïde antérieur;Poussée horizontale (pectoraux);"Poids libre (haltères, kettlebell)";4;accessoire;decline dumbbell fly;exercises/ecartes-decline-avec-halteres.webp;true;true
Écarté Élastique;ecarte-elastique;Pectoraux;Pectoraux;Deltoïde antérieur;Poussée horizontale (pectoraux);Élastique;4;accessoire;chest fly resistance band;exercises/ecarte-elastique.webp;true;true
Écarté Haltères;ecarte-halteres;Pectoraux;Pectoraux;Deltoïde antérieur;Poussée horizontale (pectoraux);"Poids libre (haltères, kettlebell)";4;accessoire;dumbbell fly chest;;true;true
Écarté Hyght (Hyght Fly);ecarte-hyght-hyght-fly;Pectoraux;Pectoraux;Deltoïde antérieur;Poussée horizontale (pectoraux);Polyvalent / non déterminé;4;accessoire;hyght dumbbell fly;exercises/hyght-dumbell-fly.webp;true;true
Écarté Incliné Haltères;ecarte-incline-halteres;Pectoraux;Pectoraux;Deltoïde antérieur;Poussée horizontale (pectoraux);"Poids libre (haltères, kettlebell)";4;accessoire;incline dumbbell fly;exercises/ecartes-incline-avec-halteres.webp;true;true
Écarté Poulie;ecarte-poulie;Pectoraux;Pectoraux;Deltoïde antérieur;Poussée horizontale (pectoraux);"Guidé (machine, poulie)";4;accessoire;cable fly chest;exercises/ecarte-poulie-vis-a-vis-exercice-musculation-pectoraux.webp;true;true
Écarté Poulie Haute à Genoux;ecarte-poulie-haute-a-genoux;Pectoraux;Pectoraux;Deltoïde antérieur;Poussée horizontale (pectoraux);"Guidé (machine, poulie)";4;accessoire;kneeling high cable fly;exercises/ecarte-poulie-haute-a-genoux.webp;true;true
Écarté TRX (Sangles);ecarte-trx-sangles;Pectoraux;Pectoraux;Abdominaux + Deltoïde antérieur;Poussée horizontale (pectoraux);Sangles / TRX;5.5;accessoire;trx chest fly;exercises/ecarte-trx-sangles.webp;true;true
Élévation Frontale Allongée Barre;elevation-frontale-allongee-barre;Épaules;Deltoïde antérieur;Deltoïde moyen;Élévation / rotation épaule;Barre;4;accessoire;;exercises/elevation-frontale-allongee-a-la-barre.webp;true;true
Élévation Frontale Banc Incliné;elevation-frontale-banc-incline;Épaules;Deltoïde antérieur;Deltoïde moyen;Élévation / rotation épaule;Barre;4;accessoire;;exercises/elevation-frontale-banc-incline.webp;true;true
Élévation Latérale Inclinée Haltère;elevation-laterale-inclinee-haltere;Épaules;Deltoïde moyen;Trapèzes;Élévation / rotation épaule;"Poids libre (haltères, kettlebell)";4;accessoire;;exercises/elevation-laterale-incline-haltere.webp;true;true
Élévation Latérale Landmine;elevation-laterale-landmine;Épaules;Deltoïde moyen;Trapèzes;Élévation / rotation épaule;"Poids libre (haltères, kettlebell)";4;accessoire;;exercises/elevation-laterale-landmine-exercice-musculation.webp;true;true
Élévation Latérale Poulie Inclinée;elevation-laterale-poulie-inclinee;Épaules;Deltoïde moyen;Trapèzes;Élévation / rotation épaule;"Guidé (machine, poulie)";4;accessoire;;exercises/elevation-laterale-a-la-poulie-en-inclinaison.webp;true;true
Élévations Frontales;elevations-frontales;Épaules;Deltoïde antérieur;Deltoïde moyen;Élévation / rotation épaule;Polyvalent / non déterminé;4;accessoire;front raise dumbbell;exercises/elevations-frontales-exercice-musculation.webp;true;true
Élévations Frontales Câble;elevations-frontales-cable;Épaules;Deltoïde antérieur;Deltoïde moyen;Élévation / rotation épaule;"Guidé (machine, poulie)";4;accessoire;cable front raise;exercises/elevation-frontale-poulie-basse.webp;true;true
Élévations Frontales Machine;elevations-frontales-machine;Épaules;Deltoïde antérieur;Deltoïde moyen;Élévation / rotation épaule;"Guidé (machine, poulie)";4;accessoire;machine front raise;;true;true
Élévations Latérales (Lateral Raise);elevations-laterales-lateral-raise;Épaules;Deltoïde moyen;Trapèzes;Élévation / rotation épaule;Polyvalent / non déterminé;4;accessoire;lateral raise dumbbell;exercises/elevations-laterales-exercice-musculation.webp;true;true
Élévations Latérales Câble;elevations-laterales-cable;Épaules;Deltoïde moyen;Trapèzes;Élévation / rotation épaule;"Guidé (machine, poulie)";4;accessoire;cable lateral raise;exercises/elevations-laterales-poulie.webp;true;true
Élévations Latérales Kettlebell;elevations-laterales-kettlebell;Épaules;Deltoïde moyen;Trapèzes;Élévation / rotation épaule;"Poids libre (haltères, kettlebell)";4;accessoire;;exercises/elevation-laterales-avec-kettlebell.webp;true;true
Élévations Latérales Machine;elevations-laterales-machine;Épaules;Deltoïde moyen;Trapèzes;Élévation / rotation épaule;"Guidé (machine, poulie)";4;accessoire;machine lateral raise;exercises/elevation-laterale-machine.webp;true;true
Élévations Latérales Unilatérale Poulie;elevations-laterales-unilaterale-poulie;Épaules;Deltoïde moyen;Trapèzes;Élévation / rotation épaule;"Guidé (machine, poulie)";4;accessoire;single arm cable lateral raise;exercises/elevations-laterales-unilaterale-poulie.webp;true;true
Élévations Mollets Assis;elevations-mollets-assis;Mollets;Mollets;;Extension de cheville (mollets);Polyvalent / non déterminé;4;accessoire;seated calf raise;exercises/elevations-mollets-assis-barre.webp;true;true
Élévations Mollets Debout;elevations-mollets-debout;Mollets;Mollets;;Extension de cheville (mollets);Polyvalent / non déterminé;4;accessoire;standing calf raise;exercises/elevations-mollets-debout-barre.webp;true;true
Élévations Mollets Penché (Donkey Calf Raise);elevations-mollets-penche-donkey-calf-raise;Mollets;Mollets;;Extension de cheville (mollets);Polyvalent / non déterminé;4;accessoire;donkey calf raise;exercises/elevations-mollets-donkey.webp;true;true
Élévations Mollets Unilatéral;elevations-mollets-unilateral;Mollets;Mollets;;Extension de cheville (mollets);Polyvalent / non déterminé;4;accessoire;single leg calf raise;;true;true
Ergomètre de Ski (Ski Erg);ergometre-de-ski-ski-erg;Full Body;Abdominaux + Grand dorsal + Triceps;Avant-bras + Fessiers + Ischio-jambiers + Quadriceps;Cardio / conditionnement;Cardio / conditionnement;8;accessoire;ski erg;exercises/ergometre-de-ski.webp;true;true
Extension Fessiers Arrière (Kickback);extension-fessiers-arriere-kickback;Fessiers;Fessiers;Ischio-jambiers;Charnière de hanche (hip hinge);Polyvalent / non déterminé;4;ancre;glute kickback cable;;true;true
Extension Lombaire sur Ballon;extension-lombaire-sur-ballon;Lombaires;Fessiers + Lombaires;Ischio-jambiers;Charnière de hanche (hip hinge);Polyvalent / non déterminé;6.5;ancre;back extension stability ball;exercises/extension-lombaire-ballon.webp;true;true
Extension Nuque Haltère;extension-nuque-haltere;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);"Poids libre (haltères, kettlebell)";4;accessoire;overhead triceps extension dumbbell;exercises/extension-nuque-haltere-assis.webp;true;true
Extension Nuque Poulie Haute;extension-nuque-poulie-haute;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);"Guidé (machine, poulie)";4;accessoire;overhead cable triceps extension;exercises/extension-nuque-poulie-haute-corde.webp;true;true
Extension Poignet Barre;extension-poignet-barre;Avant-bras;Avant-bras;;Flexion / rotation du poignet;Barre;4;accessoire;wrist extension barbell;;true;true
Extension Quadriceps (Leg Extension);extension-quadriceps-leg-extension;Jambes;Quadriceps;;Extension de genou (quadriceps);"Guidé (machine, poulie)";4;accessoire;leg extension machine;exercises/leg-extension-exercice-musculation.webp;true;true
Extension Quadriceps Élastique;extension-quadriceps-elastique;Jambes;Quadriceps;;Extension de genou (quadriceps);Élastique;4;accessoire;leg extension resistance band;exercises/extension-quadriceps-elastique.webp;true;true
Extension Quadriceps Unilatérale;extension-quadriceps-unilaterale;Jambes;Quadriceps;;Extension de genou (quadriceps);"Guidé (machine, poulie)";4;accessoire;;exercises/leg-extension-iso-lateral-unilateral-hammer-strenght.webp;true;true
Extension Quadriceps Unilatérale Machine à Dips;extension-quadriceps-unilaterale-machine-a-d;Jambes;Quadriceps;;Extension de genou (quadriceps);"Guidé (machine, poulie)";4;accessoire;single leg extension assisted dip machine;exercises/extension-quadriceps-unilaterale-machine-dips.webp;true;true
Extension Triceps;extension-triceps;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);Polyvalent / non déterminé;4;accessoire;triceps extension overhead;exercises/extension-triceps-verticale-haltere.webp;true;true
